method,N,K,J,rep,recovery,time_s
EM-MIP-50,500,3,10,91,0.966667,30.564
EM-MIP-50,500,3,10,92,0.966667,33.424
EM-MIP-50,500,3,10,93,1.000000,26.086
EM-MIP-50,500,3,10,94,0.933333,29.054
EM-MIP-50,500,3,10,95,0.933333,28.849
EM-MIP-50,500,3,10,96,0.966667,28.090
EM-MIP-50,500,3,10,97,0.866667,24.968
EM-MIP-50,500,3,10,98,0.933333,24.688
EM-MIP-50,500,3,10,99,1.000000,25.619
EM-MIP-50,500,3,10,100,0.966667,27.230
EM-MIP-50,1000,3,10,1,1.000000,43.742
EM-MIP-50,1000,3,10,2,0.966667,44.929
EM-MIP-50,1000,3,10,3,0.966667,43.392
EM-MIP-50,1000,3,10,4,1.000000,34.370
EM-MIP-50,1000,3,10,5,1.000000,39.557
EM-MIP-50,1000,3,10,6,0.933333,38.502
EM-MIP-50,1000,3,10,7,1.000000,35.742
EM-MIP-50,1000,3,10,8,1.000000,37.658
EM-MIP-50,1000,3,10,9,1.000000,38.627
EM-MIP-50,1000,3,10,10,0.966667,41.781
EM-MIP-50,1000,3,10,11,1.000000,38.969
EM-MIP-50,1000,3,10,12,0.966667,40.629
EM-MIP-50,1000,3,10,13,0.966667,40.479
EM-MIP-50,1000,3,10,14,1.000000,40.206
EM-MIP-50,1000,3,10,15,0.966667,37.391
EM-MIP-50,1000,3,10,16,0.933333,40.392
EM-MIP-50,1000,3,10,17,1.000000,37.551
EM-MIP-50,1000,3,10,18,1.000000,39.892
EM-MIP-50,1000,3,10,19,1.000000,39.471
EM-MIP-50,1000,3,10,20,0.966667,39.019
EM-MIP-50,1000,3,10,21,0.933333,41.395
EM-MIP-50,1000,3,10,22,1.000000,42.149
EM-MIP-50,1000,3,10,23,0.966667,42.538
EM-MIP-50,1000,3,10,24,1.000000,39.953
EM-MIP-50,1000,3,10,25,1.000000,40.021
EM-MIP-50,1000,3,10,26,1.000000,36.857
EM-MIP-50,1000,3,10,27,0.966667,39.001
EM-MIP-50,1000,3,10,28,0.933333,35.992
